origin,destination,count
BLQ,BRI,75
BLQ,MAD,410
BLQ,PAR,1
BLR,AMD,132
BLR,BDQ,3
BLR,JAI,235
BLR,JED,3
BLR,KUL,1328
BLR,MAM,3
BLR,MCT,108
BLR,RAJ,1
BLV,PIE,5
BMA,KLR,304
BMA,RNB,112
BMI,ABI,1
BMI,PIE,5
BMU,LOP,1
BNA,ATL,100825
BNA,BNE,1
BNA,CVG,6344
BNA,DAB,2
BNA,DAL,13593
BNA,EZE,3
BNA,MSL,114
BNA,PBI,26
BNA,RNO,45
BNA,SHV,7
BNA,SJO,1
BNA,SJU,7
BNA,SYD,5
BNE,ATL,1
BNE,DRW,6113
BNE,NTL,10689
BNE,OOL,1
BNE,VLI,88
BNE,XTG,2
BOB,HUH,2
BOB,MOZ,13
BOD,AGP,2
BOD,GVA,244
BOD,IST,27
BOD,LIL,281
BOD,LPL,1
BOD,NCE,159
BOD,RNS,133
BOD,TLS,1
BOG,BCN,159
BOG,BUENA,1
BOG,BUN,16
BOG,CTG,3176
BOG,DFW,2303
BOG,JFK,3197
BOG,PAR,1
BOG,PHX,29
BOG,RCH,169
BOI,BUR,67
BOI,DCA,1
BOI,LGB,3
BOI,MCI,28
BOI,SLC,35062
BOI,TUS,5
BOM,ATL,1
BOM,DMM,33
BOM,IXR,6
BOM,IXU,750
BOM,KTM,532
BOM,LKO,127
BOM,MRU,39
BOM,VNS,41
BON,AMS,25
BOS,BCN,20
BOS,BRU,3
BOS,DKR,1
BOS,GVA,19
BOS,GYD,1
BOS,ILM,1
BOS,LAS,12548
BOS,LGW,608
BOS,MKE,9080
BOS,NWK,2
BOS,PBG,444
BOS,PDL,74
BOS,PTK,2
BOS,PVD,2
BOS,RDK,1
BOS,SCE,2
BOS,SEA,35595
BOS,SHV,1
BOS,STM,4
BOS,TLV,344
BOS,UVF,2
BOS,YOW,2689
BPN,SUB,3
BPS,GRU,78
BPT,DFW,2917
BQK,MSP,4
BQU,BGI,4
BRA,BSB,15
BRA,IAH,1
BRE,AGP,2
BRE,CDG,472
BRE,EDI,4
BRE,LCY,72
BRI,CLJ,1
BRI,FCO,2139
BRI,LIN,1525
BRI,TRN,49
BRI,ZRH,33
BRM,CUR,3
BRO,REX,1
BRS,LYS,1
BRS,NOC,3
BRS,ORK,126
BRS,WAW,2
BRU,BCN,2327
BRU,BRU,7
BRU,BUH,1
BRU,CHQ,4
BRU,CUN,1
BRU,DOH,230
BRU,DXB,737
BRU,EXT,1
BRU,FAO,68
BRU,IAH,1
BRU,IBZ,4
BRU,MAD,4006
BRU,MLA,135
BRU,NCE,581
BRU,RTM,7
BRU,STR,742
BRU,SZG,21
BRU,TFS,10
BRW,ANC,847
BSB,AJU,4
BSB,CNF,565
BSB,CWB,142
BSB,PVH,122
BSB,SYD,1
BSB,UDI,17
BSD,HGH,2
BSK,ALG,3
BSL,AMS,4402
BSL,HAM,499
BSL,LIS,16
BSL,STN,76
BSL,SXF,540
BSL,ZRH,1
BTH,PKU,1
BTR,AUS,2
BTR,MSP,8
BTR,PHX,7
BTS,BOJ,1
BTS,EDI,12
BTS,LTN,11
BTS,STN,182
BTU,KCH,46
BTU,SBW,5
BUD,BEY,1
BUD,DTM,4
BUD,EDI,86
BUD,LYS,32
BUD,MAN,90
BUD,PEK,23
BUD,SKG,1
BUD,STR,226
BUD,VCE,3
BUE,BOS,1
BUE,MEX,2
BUE,ORD,1
BUF,ATL,24258
BUF,CHS,4
BUF,CVG,1
BUF,GRR,4
BUF,LAS,3191
BUF,TPA,1159
BUF,YOW,1
BUR,BHM,1
BUR,CLE,3
BUR,EUG,1
BUR,JAC,1
BUR,LIT,17
BUR,PHL,2
BUR,RDM,1
BUR,TUL,3
BUR,TUS,29
Bush ,JAN,2
BVA,PMO,4
BVA,RAK,1
BVI,BNE,2
BWG,FFT,6
BWI,AUG,1
BWI,AUS,7073
BWI,BOW,2
BWI,CMH,13697
